--------------------------------
Seed:  42
Device Assigned to:  cuda
Data Directory:  ./Data
Loading data....................
(232737, 3, 66, 200)

Loaded:
Training: 232737 Images, 232737 Targets
Validation: 10000 Images, 10000 Targets
Each image has shape:(3, 66, 200)

--------------------------------
Total No. of Trainable Parameters:  23510081

#### Started Training ####
/mnt/c/Users/iambi/Desktop/Regressor/env/lib/python3.8/site-packages/torch/nn/functional.py:718: UserWarning: Named tensors and all their associated APIs are an experimental feature and subject to change. Please do not use them for anything important until they are released as stable. (Triggered internally at  /pytorch/c10/core/TensorImpl.h:1156.)
  return torch.max_pool2d(input, kernel_size, stride, padding, dilation, ceil_mode)
Ep. 43/1000:    Train: ABL 0.483, Acc. 88.62%   Val: ABL 0.345, Acc. 89.0%      Time: 437.7 s
#### New Model Saved #####
Ep. 44/1000:    Train: ABL 0.284, Acc. 89.25%   Val: ABL 0.312, Acc. 89.96%     Time: 437.8 s
#### New Model Saved #####
Ep. 45/1000:    Train: ABL 0.188, Acc. 90.08%   Val: ABL 0.317, Acc. 90.0%      Time: 437.5 s
Ep. 46/1000:    Train: ABL 0.41, Acc. 88.8%     Val: ABL 0.371, Acc. 91.34%     Time: 437.8 s
Ep. 47/1000:    Train: ABL 0.221, Acc. 89.83%   Val: ABL 0.279, Acc. 91.06%     Time: 437.9 s
#### New Model Saved #####
Ep. 48/1000:    Train: ABL 0.343, Acc. 89.53%   Val: ABL 0.531, Acc. 90.88%     Time: 441.3 s
Ep. 49/1000:    Train: ABL 0.249, Acc. 89.69%   Val: ABL 0.273, Acc. 90.71%     Time: 437.9 s
#### New Model Saved #####
Ep. 50/1000:    Train: ABL 0.154, Acc. 90.68%   Val: ABL 0.271, Acc. 92.32%     Time: 437.7 s
#### New Model Saved #####
Ep. 51/1000:    Train: ABL 0.27, Acc. 90.03%    Val: ABL 0.765, Acc. 88.42%     Time: 438.6 s
Ep. 52/1000:    Train: ABL 0.356, Acc. 89.34%   Val: ABL 0.29, Acc. 90.72%      Time: 437.2 s
Ep. 53/1000:    Train: ABL 0.234, Acc. 90.26%   Val: ABL 0.876, Acc. 89.74%     Time: 437.8 s
Ep. 54/1000:    Train: ABL 0.208, Acc. 90.19%   Val: ABL 0.258, Acc. 92.71%     Time: 437.6 s
#### New Model Saved #####
Ep. 55/1000:    Train: ABL 0.226, Acc. 90.46%   Val: ABL 0.348, Acc. 90.92%     Time: 437.6 s
Ep. 56/1000:    Train: ABL 0.253, Acc. 90.13%   Val: ABL 0.375, Acc. 92.72%     Time: 438.5 s
Ep. 57/1000:    Train: ABL 0.171, Acc. 90.64%   Val: ABL 0.284, Acc. 92.46%     Time: 438.3 s
Ep. 58/1000:    Train: ABL 0.139, Acc. 91.14%   Val: ABL 0.293, Acc. 91.73%     Time: 438.1 s
Ep. 59/1000:    Train: ABL 0.283, Acc. 90.2%    Val: ABL 0.447, Acc. 90.32%     Time: 438.1 s
Ep. 60/1000:    Train: ABL 0.188, Acc. 90.46%   Val: ABL 0.279, Acc. 93.23%     Time: 437.9 s
Ep. 61/1000:    Train: ABL 0.114, Acc. 91.48%   Val: ABL 0.344, Acc. 92.03%     Time: 438.3 s
Ep. 62/1000:    Train: ABL 0.162, Acc. 91.03%   Val: ABL 0.272, Acc. 91.64%     Time: 437.8 s
